Client Name,Client Identifier,Scheme Category/Section Name,Scheme Category/Section Name Identifier,Unique Member Reference,Unique ID,Status of Member,Status of Registration,Year of Birth,Gender,Short Post Code of Member,Contract Start Date,Contract End Date,Original Date of Joining,Scheme Policy Joining Date,Registration Status,Lapse Date
Client_069 Ltd,CL-069,Individual,SC-186,MBR-00487,UID-00000487,Active,Registered,1999,M,SW3 8UV,2017-02-08,2020-11-08,2007-10-24,2009-12-24,Registered,
Client_031 Ltd,CL-031,Corporate,SC-762,MBR-00488,UID-00000488,Active,Registered,1986,M,G3 7GN,2024-08-07,2025-10-30,2012-08-28,2013-08-09,Registered,
Client_125 Ltd,CL-125,Family,SC-858,MBR-00489,UID-00000489,Active,Registered,1977,F,EC16M 6RS,2018-09-24,2023-01-24,2003-12-10,2017-09-23,Registered,
Client_024 Ltd,CL-024,Corporate,SC-833,MBR-00490,UID-00000490,Active,Registered,1970,F,E19 6VY,2024-02-23,2025-10-30,2022-11-12,2023-03-21,Registered,
Client_032 Ltd,CL-032,Family,SC-954,MBR-00491,UID-00000491,Active,Registered,1986,M,NW2R 1DF,2017-03-27,2025-10-30,2009-12-14,2011-10-06,Registered,
Client_113 Ltd,CL-113,Individual,SC-736,MBR-00492,UID-00000492,Active,Registered,1981,F,BT15Q 4WE,2015-01-08,2022-07-05,2011-04-28,2014-07-09,Registered,
Client_195 Ltd,CL-195,Individual,SC-765,MBR-00493,UID-00000493,Active,Registered,1998,M,B6 5CU,2017-02-15,2019-01-25,2002-04-29,2005-02-07,Registered,
Client_016 Ltd,CL-016,Family,SC-219,MBR-00494,UID-00000494,Active,Registered,1979,M,G9Y 3BM,2016-10-24,2025-09-18,2014-10-27,2016-02-23,Registered,
Client_185 Ltd,CL-185,Individual,SC-269,MBR-00495,UID-00000495,Active,Registered,1974,M,B8 2WD,2021-12-07,2025-10-30,2013-06-16,2020-08-23,Registered,
Client_108 Ltd,CL-108,Family,SC-855,MBR-00496,UID-00000496,Active,Registered,1991,M,SW7 3SH,2022-07-22,2025-10-30,2016-06-14,2019-12-03,Registered,
Client_024 Ltd,CL-024,Corporate,SC-550,MBR-00497,UID-00000497,Active,Registered,1992,F,BT1N 2NW,2015-11-25,2018-12-23,2011-01-16,2014-03-03,Registered,
Client_034 Ltd,CL-034,Individual,SC-574,MBR-00498,UID-00000498,Active,Registered,1984,M,E16P 2XZ,2018-11-24,2023-08-26,2004-04-03,2006-01-28,Registered,
Client_128 Ltd,CL-128,Family,SC-528,MBR-00499,UID-00000499,Active,Registered,1989,F,W4 5EM,2016-02-04,2022-09-23,2011-11-20,2015-11-22,Registered,
Client_052 Ltd,CL-052,Corporate,SC-200,MBR-00500,UID-00000500,Active,Registered,1982,F,E5V 1TU,2017-02-18,2019-04-28,2012-10-11,2016-12-25,Registered,
Client_048 Ltd,CL-048,Corporate,SC-471,MBR-00501,UID-00000501,Lapsed,Cancelled,1985,F,N15 4UX,2020-03-27,2025-10-30,2009-10-21,2016-12-02,Cancelled,2025-10-30
Client_087 Ltd,CL-087,Family,SC-971,MBR-00502,UID-00000502,Active,Registered,1994,F,E14 8GC,2018-11-19,2022-03-07,2009-05-29,2012-09-04,Registered,
Client_119 Ltd,CL-119,Corporate,SC-197,MBR-00503,UID-00000503,Active,Registered,1989,M,W5 7LN,2021-07-13,2025-10-30,2017-11-22,2018-09-17,Registered,
Client_181 Ltd,CL-181,Individual,SC-658,MBR-00504,UID-00000504,Active,Registered,1981,F,L5X 2HR,2021-10-02,2025-10-30,2015-10-16,2019-02-10,Registered,
Client_183 Ltd,CL-183,Individual,SC-130,MBR-00505,UID-00000505,Active,Registered,1996,F,B1 5GQ,2018-05-18,2025-09-19,2007-09-24,2014-02-18,Registered,
Client_038 Ltd,CL-038,Corporate,SC-560,MBR-00506,UID-00000506,Active,Registered,1959,M,EC13B 4PM,2024-05-27,2025-10-30,2017-10-08,2020-05-16,Registered,
Client_130 Ltd,CL-130,Corporate,SC-614,MBR-00507,UID-00000507,Active,Registered,2003,F,W8 2QA,2023-04-26,2025-10-30,2011-05-03,2016-05-06,Registered,
Client_069 Ltd,CL-069,Corporate,SC-980,MBR-00508,UID-00000508,Active,Registered,1965,F,G11V 7LR,2018-04-09,2019-11-30,2013-10-03,2016-06-24,Registered,
Client_082 Ltd,CL-082,Corporate,SC-372,MBR-00509,UID-00000509,Active,Registered,1976,F,N16 2AS,2015-04-11,2018-01-12,2008-01-21,2010-03-10,Registered,
Client_118 Ltd,CL-118,Corporate,SC-418,MBR-00510,UID-00000510,Active,Registered,1982,F,SE1B 1ZM,2021-09-27,2025-03-25,2013-01-20,2014-07-06,Registered,
Client_053 Ltd,CL-053,Individual,SC-229,MBR-00511,UID-00000511,Active,Registered,1981,F,B17 7WM,2022-03-04,2025-10-30,2020-01-22,2020-04-17,Registered,
Client_050 Ltd,CL-050,Family,SC-369,MBR-00512,UID-00000512,Active,Registered,1993,M,SE18 3IC,2015-11-19,2023-03-06,2014-11-06,2015-08-01,Registered,
Client_157 Ltd,CL-157,Corporate,SC-498,MBR-00513,UID-00000513,Active,Registered,1972,F,B3 4ZE,2015-01-29,2023-03-28,2012-08-12,2014-10-07,Registered,
Client_074 Ltd,CL-074,Corporate,SC-579,MBR-00514,UID-00000514,Active,Registered,1985,F,L13 2JW,2024-12-28,2025-10-30,2011-10-13,2024-07-09,Registered,
Client_183 Ltd,CL-183,Individual,SC-545,MBR-00515,UID-00000515,Active,Registered,1977,M,CF8D 7DO,2017-01-20,2020-02-19,2015-05-13,2015-11-13,Registered,
Client_106 Ltd,CL-106,Individual,SC-901,MBR-00516,UID-00000516,Active,Registered,1985,M,NW10 3DA,2023-06-04,2025-10-30,2014-07-05,2019-11-09,Registered,
Client_189 Ltd,CL-189,Corporate,SC-816,MBR-00517,UID-00000517,Active,Registered,1982,M,E1O 9QZ,2019-07-18,2025-10-30,2013-08-16,2017-10-17,Registered,
Client_050 Ltd,CL-050,Corporate,SC-915,MBR-00518,UID-00000518,Active,Registered,1983,F,M6 5XD,2016-08-29,2019-11-20,2003-02-10,2006-06-07,Registered,
Client_016 Ltd,CL-016,SME,SC-119,MBR-00519,UID-00000519,Active,Registered,1977,F,SW11 5QC,2016-05-31,2024-01-15,2004-11-05,2009-03-15,Registered,
Client_087 Ltd,CL-087,Corporate,SC-162,MBR-00520,UID-00000520,Active,Registered,1977,M,M19 8OQ,2018-01-13,2019-07-07,2008-04-27,2011-06-23,Registered,
Client_094 Ltd,CL-094,Individual,SC-360,MBR-00521,UID-00000521,Active,Registered,1985,F,G2 3LF,2015-08-28,2025-05-08,2002-11-23,2009-09-15,Registered,
Client_070 Ltd,CL-070,Family,SC-990,MBR-00522,UID-00000522,Lapsed,Cancelled,1992,M,M4 2HX,2017-12-08,2022-05-09,2016-08-26,2016-12-13,Cancelled,2022-05-09
Client_172 Ltd,CL-172,Individual,SC-774,MBR-00523,UID-00000523,Active,Registered,1977,F,SW2 1HB,2020-09-04,2024-01-16,2019-01-21,2019-06-01,Registered,
Client_100 Ltd,CL-100,Family,SC-242,MBR-00524,UID-00000524,Active,Registered,1974,F,EH12 3FB,2017-04-18,2022-11-29,2010-09-28,2014-11-14,Registered,
Client_144 Ltd,CL-144,SME,SC-923,MBR-00525,UID-00000525,Lapsed,Cancelled,1989,F,CF8 7XK,2021-09-27,2025-10-30,2019-07-03,2020-01-17,Cancelled,2025-10-30
Client_028 Ltd,CL-028,Individual,SC-453,MBR-00526,UID-00000526,Active,Registered,1982,M,M3 2QV,2018-01-26,2022-09-21,2009-01-21,2012-01-24,Registered,
Client_185 Ltd,CL-185,Corporate,SC-722,MBR-00527,UID-00000527,Active,Registered,1991,M,NW6T 1MC,2018-12-06,2025-09-06,2013-04-06,2016-08-15,Registered,
Client_154 Ltd,CL-154,Family,SC-554,MBR-00528,UID-00000528,Active,Registered,1973,M,BT10 5KC,2024-02-24,2025-10-30,2019-11-02,2022-05-25,Registered,
Client_086 Ltd,CL-086,Corporate,SC-521,MBR-00529,UID-00000529,Active,Registered,1965,M,BT1 5SZ,2021-05-10,2025-10-03,2015-01-03,2015-02-24,Registered,
Client_118 Ltd,CL-118,SME,SC-423,MBR-00530,UID-00000530,Active,Registered,1977,F,B20O 8YY,2018-08-29,2025-10-30,2004-12-07,2009-01-20,Registered,
Client_011 Ltd,CL-011,Corporate,SC-608,MBR-00531,UID-00000531,Active,Registered,1975,F,EC18 4EA,2018-06-13,2021-12-26,2008-02-11,2009-01-13,Registered,
Client_129 Ltd,CL-129,Corporate,SC-194,MBR-00532,UID-00000532,Active,Registered,1982,B,CF1O 1KA,2023-12-25,2025-10-30,2022-10-04,2023-11-01,Registered,
Client_069 Ltd,CL-069,Family,SC-288,MBR-00533,UID-00000533,Active,Registered,1976,B,BS10T 4NP,2023-06-24,2025-10-30,2020-03-14,2022-12-28,Registered,
Client_171 Ltd,CL-171,Family,SC-446,MBR-00534,UID-00000534,Active,Registered,1990,F,NW5 2BH,2020-02-05,2025-10-30,2012-07-22,2018-04-20,Registered,
Client_174 Ltd,CL-174,Corporate,SC-362,MBR-00535,UID-00000535,Active,Registered,1980,F,CF12 2SD,2016-10-06,2018-11-13,2015-05-14,2016-05-21,Registered,
Client_105 Ltd,CL-105,Family,SC-405,MBR-00536,UID-00000536,Active,Registered,1984,F,E13V 1NV,2021-02-06,2023-01-18,2017-05-28,2020-09-24,Registered,
Client_036 Ltd,CL-036,Individual,SC-995,MBR-00537,UID-00000537,Active,Registered,1984,F,E8N 7WX,2016-08-19,2025-02-01,2009-02-10,2015-07-31,Registered,
Client_066 Ltd,CL-066,Family,SC-458,MBR-00538,UID-00000538,Active,Registered,1984,M,L11 4CG,2021-04-12,2023-08-13,2010-01-25,2020-08-25,Registered,
Client_185 Ltd,CL-185,Family,SC-658,MBR-00539,UID-00000539,Active,Registered,1982,M,E19E 3OO,2024-12-01,2025-10-30,2016-06-15,2022-05-17,Registered,
Client_134 Ltd,CL-134,Corporate,SC-408,MBR-00540,UID-00000540,Active,Registered,1988,M,L14O 4OJ,2022-09-11,2025-10-30,2015-06-25,2020-05-23,Registered,
Client_190 Ltd,CL-190,Corporate,SC-916,MBR-00541,UID-00000541,Active,Registered,1975,F,BT9 2FZ,2016-03-16,2020-02-29,2002-05-03,2013-02-11,Registered,
Client_155 Ltd,CL-155,Family,SC-551,MBR-00542,UID-00000542,Active,Registered,1996,F,B20N 3CW,2022-04-27,2025-10-30,2011-11-19,2020-05-03,Registered,
Client_125 Ltd,CL-125,Family,SC-681,MBR-00543,UID-00000543,Active,Registered,1980,M,WC12 1VJ,2016-04-12,2020-04-26,2005-01-11,2012-11-30,Registered,
Client_154 Ltd,CL-154,Family,SC-780,MBR-00544,UID-00000544,Active,Registered,1969,F,M6P 8RX,2017-08-22,2025-04-12,2004-10-01,2016-08-31,Registered,
Client_141 Ltd,CL-141,Family,SC-917,MBR-00545,UID-00000545,Active,Registered,1984,F,WC4 3DA,2019-06-26,2023-01-11,2006-01-01,2015-04-08,Registered,
Client_076 Ltd,CL-076,Corporate,SC-461,MBR-00546,UID-00000546,Active,Registered,1974,M,NW8P 6VU,2023-05-05,2025-10-30,2008-10-10,2021-06-02,Registered,
Client_146 Ltd,CL-146,Family,SC-189,MBR-00547,UID-00000547,Active,Registered,1989,M,SE19 2AC,2022-08-18,2025-10-30,2010-06-10,2012-09-09,Registered,
Client_038 Ltd,CL-038,Corporate,SC-709,MBR-00548,UID-00000548,Active,Registered,2005,F,EC15 2ZK,2022-09-14,2025-10-30,2017-04-23,2020-05-06,Registered,
Client_006 Ltd,CL-006,Individual,SC-500,MBR-00549,UID-00000549,Active,Registered,1975,F,W2 1FS,2015-08-15,2017-06-17,2012-10-03,2014-06-11,Registered,
Client_126 Ltd,CL-126,Corporate,SC-165,MBR-00550,UID-00000550,Active,Registered,1986,F,CF13 7VN,2022-09-09,2025-10-30,2020-08-08,2022-01-31,Registered,
Client_092 Ltd,CL-092,Family,SC-360,MBR-00551,UID-00000551,Active,Registered,1965,F,N12G 5IO,2018-07-28,2025-10-30,2011-04-03,2017-08-17,Registered,
Client_028 Ltd,CL-028,Corporate,SC-687,MBR-00552,UID-00000552,Active,Registered,1987,F,E2 4UJ,2019-08-21,2023-04-23,2014-08-16,2015-04-28,Registered,
Client_089 Ltd,CL-089,Family,SC-974,MBR-00553,UID-00000553,Lapsed,Cancelled,1974,F,EH14 8BC,2016-05-28,2019-04-18,2014-03-15,2015-01-28,Cancelled,2019-04-18
Client_005 Ltd,CL-005,Family,SC-730,MBR-00554,UID-00000554,Lapsed,Cancelled,1976,F,M13H 9HU,2015-07-31,2022-10-17,2009-07-06,2010-02-07,Cancelled,2022-10-17
Client_187 Ltd,CL-187,Corporate,SC-118,MBR-00555,UID-00000555,Active,Registered,1971,F,SW13 6PR,2023-07-05,2025-10-30,2012-10-14,2015-11-14,Registered,
Client_111 Ltd,CL-111,Family,SC-965,MBR-00556,UID-00000556,Active,Registered,1990,M,EH12 9KM,2022-02-09,2023-07-22,2007-03-09,2008-05-31,Registered,
Client_108 Ltd,CL-108,Family,SC-168,MBR-00557,UID-00000557,Active,Registered,1993,M,M6W 4AZ,2017-02-08,2021-09-18,2003-04-13,2007-12-29,Registered,
Client_045 Ltd,CL-045,Individual,SC-949,MBR-00558,UID-00000558,Active,Registered,1983,M,M2 8QL,2024-01-25,2025-10-30,2020-05-09,2023-11-09,Registered,
Client_112 Ltd,CL-112,Corporate,SC-775,MBR-00559,UID-00000559,Active,Registered,1974,F,WC6Y 4IR,2024-05-28,2025-10-30,2015-03-20,2018-04-02,Registered,
Client_181 Ltd,CL-181,Individual,SC-820,MBR-00560,UID-00000560,Active,Registered,1998,F,NW8 7LF,2016-03-06,2023-08-21,2009-09-04,2014-12-07,Registered,
Client_002 Ltd,CL-002,Family,SC-370,MBR-00561,UID-00000561,Active,Registered,1975,F,N8 6SA,2023-08-29,2025-10-30,2017-12-05,2019-09-23,Registered,
Client_177 Ltd,CL-177,Corporate,SC-128,MBR-00562,UID-00000562,Active,Registered,1961,M,G19 4ZP,2019-06-20,2025-10-30,2017-08-17,2018-02-16,Registered,
Client_090 Ltd,CL-090,SME,SC-809,MBR-00563,UID-00000563,Active,Registered,1987,M,B6 2BH,2023-12-03,2024-12-07,2015-07-17,2023-02-06,Registered,
Client_115 Ltd,CL-115,Corporate,SC-999,MBR-00564,UID-00000564,Active,Registered,1971,M,WC1 1KT,2015-09-17,2021-01-03,2014-04-27,2014-10-02,Registered,
Client_063 Ltd,CL-063,Corporate,SC-701,MBR-00565,UID-00000565,Active,Registered,1992,M,EC5 3ZK,2019-10-21,2023-04-11,2008-11-24,2010-04-10,Registered,
Client_092 Ltd,CL-092,Corporate,SC-121,MBR-00566,UID-00000566,Active,Registered,1979,F,NW1Z 3YD,2021-07-25,2025-10-30,2019-08-31,2021-03-12,Registered,
Client_070 Ltd,CL-070,Family,SC-442,MBR-00567,UID-00000567,Active,Registered,1989,M,G3 7SD,2016-12-07,2021-03-22,2010-09-21,2015-11-02,Registered,
Client_186 Ltd,CL-186,SME,SC-410,MBR-00568,UID-00000568,Active,Registered,1997,M,L10 3XN,2015-02-15,2019-04-06,2011-12-25,2013-10-28,Registered,
Client_004 Ltd,CL-004,Family,SC-760,MBR-00569,UID-00000569,Active,Registered,1970,F,EH11U 6HV,2017-05-26,2020-06-20,2013-09-10,2017-02-18,Registered,
Client_158 Ltd,CL-158,Individual,SC-407,MBR-00570,UID-00000570,Active,Registered,1977,M,N13 5EF,2022-12-27,2025-10-30,2013-02-20,2014-03-02,Registered,
Client_057 Ltd,CL-057,SME,SC-418,MBR-00571,UID-00000571,Active,Registered,1982,M,SW19 1FT,2020-05-09,2025-10-30,2011-06-27,2011-08-25,Registered,
Client_047 Ltd,CL-047,Family,SC-976,MBR-00572,UID-00000572,Active,Registered,1998,F,L20V 2PE,2019-05-20,2022-09-08,2009-08-17,2016-11-03,Registered,
Client_146 Ltd,CL-146,Family,SC-685,MBR-00573,UID-00000573,Active,Registered,1976,M,L3N 3UC,2021-03-24,2025-10-30,2014-08-12,2016-02-14,Registered,
Client_108 Ltd,CL-108,Corporate,SC-532,MBR-00574,UID-00000574,Active,Registered,1977,F,L15H 4WC,2024-12-18,2025-10-30,2014-03-18,2016-01-03,Registered,
Client_095 Ltd,CL-095,Family,SC-274,MBR-00575,UID-00000575,Active,Registered,1987,F,G9 1BM,2019-10-06,2025-10-16,2014-11-27,2018-03-03,Registered,
Client_044 Ltd,CL-044,Corporate,SC-764,MBR-00576,UID-00000576,Active,Registered,1977,F,BT14 7PM,2019-04-20,2025-10-30,2007-08-06,2009-11-06,Registered,
Client_180 Ltd,CL-180,Family,SC-861,MBR-00577,UID-00000577,Active,Registered,1984,M,G18 8ZS,2023-09-26,2025-10-30,2010-02-21,2018-09-30,Registered,
Client_177 Ltd,CL-177,Individual,SC-483,MBR-00578,UID-00000578,Pending,Pending,1967,F,WC6 1JA,2023-04-14,2025-10-30,2021-10-11,2022-02-26,Pending,
Client_158 Ltd,CL-158,Individual,SC-248,MBR-00579,UID-00000579,Active,Registered,2005,M,L9 2KF,2018-06-15,2025-10-30,2008-04-11,2012-08-03,Registered,
Client_180 Ltd,CL-180,Family,SC-948,MBR-00580,UID-00000580,Active,Registered,1969,M,BS6 9CK,2018-01-29,2021-11-22,2006-05-17,2016-09-04,Registered,
Client_037 Ltd,CL-037,Individual,SC-212,MBR-00581,UID-00000581,Active,Registered,1979,M,EH1 3TN,2022-10-09,2025-10-30,2018-03-15,2021-12-31,Registered,
Client_063 Ltd,CL-063,Individual,SC-531,MBR-00582,UID-00000582,Lapsed,Cancelled,1982,F,N2H 4NW,2019-10-27,2020-12-07,2014-04-13,2018-10-19,Cancelled,2020-12-07
Client_012 Ltd,CL-012,Family,SC-457,MBR-00583,UID-00000583,Active,Registered,2002,M,M10E 1MS,2015-11-30,2024-11-15,2004-05-01,2013-02-05,Registered,
Client_017 Ltd,CL-017,Family,SC-352,MBR-00584,UID-00000584,Active,Registered,1969,M,EH5A 7CJ,2019-03-11,2024-07-16,2010-07-24,2011-03-30,Registered,
Client_034 Ltd,CL-034,Corporate,SC-664,MBR-00585,UID-00000585,Active,Registered,2002,F,EH7H 3UJ,2016-07-09,2025-07-30,2007-02-27,2010-05-02,Registered,
Client_156 Ltd,CL-156,Family,SC-944,MBR-00586,UID-00000586,Active,Registered,1990,M,SE16 5ZM,2020-08-10,2025-10-30,2006-01-06,2015-10-28,Registered,
Client_132 Ltd,CL-132,Family,SC-729,MBR-00587,UID-00000587,Active,Registered,1987,M,EH16 5CU,2016-12-31,2021-05-22,2009-05-28,2009-08-09,Registered,
Client_098 Ltd,CL-098,Family,SC-567,MBR-00588,UID-00000588,Active,Registered,1973,M,BS6 7LF,2016-12-28,2025-10-30,2009-11-20,2013-09-23,Registered,
Client_046 Ltd,CL-046,Individual,SC-936,MBR-00589,UID-00000589,Active,Registered,1988,M,BT2R 5HI,2018-03-09,2021-09-01,2014-06-08,2015-11-09,Registered,
Client_014 Ltd,CL-014,Corporate,SC-894,MBR-00590,UID-00000590,Pending,Pending,1975,M,NW5 2CV,2020-04-16,2022-11-13,2013-04-30,2015-06-22,Pending,
Client_013 Ltd,CL-013,Individual,SC-931,MBR-00591,UID-00000591,Active,Registered,1995,M,G18 4RB,2017-07-11,2019-03-27,2011-02-23,2013-04-11,Registered,
Client_186 Ltd,CL-186,Individual,SC-858,MBR-00592,UID-00000592,Active,Registered,1973,F,BS17 9VP,2018-07-23,2025-10-30,2008-01-26,2014-06-09,Registered,
Client_049 Ltd,CL-049,SME,SC-322,MBR-00593,UID-00000593,Active,Registered,1981,M,WC16P 1QS,2016-01-02,2023-08-28,2004-10-14,2007-05-23,Registered,
Client_178 Ltd,CL-178,Corporate,SC-913,MBR-00594,UID-00000594,Active,Registered,1977,M,E4 8FF,2016-09-15,2025-04-03,2007-03-08,2015-01-16,Registered,
Client_067 Ltd,CL-067,Corporate,SC-696,MBR-00595,UID-00000595,Active,Registered,1973,F,EC7Q 2VN,2020-07-13,2025-06-23,2011-02-11,2019-07-04,Registered,
Client_021 Ltd,CL-021,Individual,SC-912,MBR-00596,UID-00000596,Active,Registered,1990,M,EC5 5KX,2024-10-29,2025-10-30,2014-07-13,2019-02-22,Registered,
Client_051 Ltd,CL-051,Family,SC-789,MBR-00597,UID-00000597,Active,Registered,1988,F,SE3 7RK,2020-04-11,2024-05-17,2017-02-12,2019-04-29,Registered,
Client_038 Ltd,CL-038,Individual,SC-149,MBR-00598,UID-00000598,Active,Registered,1995,M,M17 1ZW,2024-03-02,2025-10-30,2015-02-28,2020-06-03,Registered,
Client_119 Ltd,CL-119,SME,SC-568,MBR-00599,UID-00000599,Active,Registered,1965,M,CF4 3SS,2020-04-24,2025-10-30,2009-12-03,2017-04-20,Registered,
Client_026 Ltd,CL-026,Corporate,SC-513,MBR-00600,UID-00000600,Active,Registered,1993,M,W4 2ZJ,2015-10-28,2021-05-31,2009-05-10,2011-06-21,Registered,
Client_006 Ltd,CL-006,Family,SC-499,MBR-00601,UID-00000601,Active,Registered,2005,M,G14X 8ST,2023-05-30,2025-10-30,2016-11-22,2018-05-06,Registered,
Client_018 Ltd,CL-018,Corporate,SC-860,MBR-00602,UID-00000602,Active,Registered,1978,M,EH2P 3TT,2017-12-29,2024-07-21,2009-07-02,2014-12-23,Registered,
Client_114 Ltd,CL-114,Individual,SC-511,MBR-00603,UID-00000603,Active,Registered,2001,M,BS2 6WH,2022-12-30,2025-08-06,2020-01-20,2021-02-03,Registered,
Client_134 Ltd,CL-134,Corporate,SC-597,MBR-00604,UID-00000604,Active,Registered,1980,M,NW16 6AK,2024-07-31,2025-10-30,2010-09-24,2022-02-09,Registered,
Client_169 Ltd,CL-169,Corporate,SC-465,MBR-00605,UID-00000605,Active,Registered,1969,M,B10S 2HE,2018-04-25,2022-06-09,2007-11-14,2012-11-24,Registered,
Client_057 Ltd,CL-057,Corporate,SC-818,MBR-00606,UID-00000606,Lapsed,Cancelled,1979,M,B15 6IX,2015-06-07,2025-05-07,2011-02-21,2011-08-27,Cancelled,2025-05-07
Client_178 Ltd,CL-178,Individual,SC-255,MBR-00607,UID-00000607,Active,Registered,1993,M,CF20 4OG,2018-09-16,2021-04-12,2009-03-04,2015-11-01,Registered,
Client_025 Ltd,CL-025,Family,SC-967,MBR-00608,UID-00000608,Active,Registered,1974,M,CF16 6BQ,2024-02-11,2025-06-30,2014-10-07,2021-09-30,Registered,
Client_048 Ltd,CL-048,Corporate,SC-362,MBR-00609,UID-00000609,Active,Registered,1976,M,N3 9ME,2020-04-13,2025-10-30,2006-04-02,2017-12-13,Registered,
Client_024 Ltd,CL-024,Corporate,SC-759,MBR-00610,UID-00000610,Active,Registered,1988,F,SW6H 1HB,2024-07-12,2025-10-30,2012-12-25,2021-11-16,Registered,
Client_158 Ltd,CL-158,Corporate,SC-404,MBR-00611,UID-00000611,Active,Registered,1983,M,BT2 4IL,2021-11-16,2025-10-30,2010-10-02,2011-01-23,Registered,
Client_087 Ltd,CL-087,Individual,SC-286,MBR-00612,UID-00000612,Active,Registered,1988,F,BT17 2VA,2020-10-31,2024-10-20,2019-09-10,2020-04-04,Registered,
Client_045 Ltd,CL-045,Corporate,SC-114,MBR-00613,UID-00000613,Active,Registered,1985,F,WC12 8FP,2023-01-05,2025-10-30,2017-02-23,2022-09-23,Registered,
Client_043 Ltd,CL-043,Family,SC-963,MBR-00614,UID-00000614,Active,Registered,1987,M,G12L 2JA,2015-01-14,2017-02-13,2010-06-14,2011-09-11,Registered,
Client_072 Ltd,CL-072,Family,SC-346,MBR-00615,UID-00000615,Active,Registered,1978,F,BS2V 4HU,2018-02-28,2024-04-06,2013-04-24,2014-10-05,Registered,
Client_184 Ltd,CL-184,SME,SC-206,MBR-00616,UID-00000616,Active,Registered,1985,F,WC7Q 9AY,2023-12-12,2025-10-30,2011-10-06,2013-05-29,Registered,
Client_070 Ltd,CL-070,Corporate,SC-957,MBR-00617,UID-00000617,Active,Registered,1973,M,SW16 3TZ,2022-06-20,2025-10-30,2008-09-02,2013-06-24,Registered,
Client_033 Ltd,CL-033,Family,SC-884,MBR-00618,UID-00000618,Active,Registered,1995,M,SW8M 5NM,2023-02-24,2025-10-30,2015-11-30,2020-03-29,Registered,
Client_097 Ltd,CL-097,Corporate,SC-428,MBR-00619,UID-00000619,Active,Registered,1976,F,G15R 5VQ,2018-05-20,2020-07-30,2007-09-29,2010-10-29,Registered,
Client_045 Ltd,CL-045,Family,SC-592,MBR-00620,UID-00000620,Active,Registered,1994,F,BS19T 6RU,2021-03-04,2025-10-30,2013-07-03,2015-12-23,Registered,
Client_007 Ltd,CL-007,Family,SC-703,MBR-00621,UID-00000621,Active,Registered,1980,M,B10 8CK,2018-03-04,2025-10-30,2013-08-04,2016-07-26,Registered,
Client_106 Ltd,CL-106,Family,SC-707,MBR-00622,UID-00000622,Active,Registered,1985,M,M11 5UW,2015-04-18,2023-07-26,2007-11-08,2009-08-22,Registered,
Client_146 Ltd,CL-146,Individual,SC-605,MBR-00623,UID-00000623,Active,Registered,1978,M,B7J 1ZZ,2019-11-30,2025-10-30,2008-04-27,2013-07-17,Registered,
Client_070 Ltd,CL-070,Family,SC-109,MBR-00624,UID-00000624,Active,Registered,1972,M,BS11 1UP,2016-09-22,2025-08-16,2012-03-08,2012-05-24,Registered,
Client_045 Ltd,CL-045,Corporate,SC-514,MBR-00625,UID-00000625,Active,Registered,1965,F,B9 7MX,2022-08-10,2025-05-22,2017-04-29,2018-12-22,Registered,
Client_037 Ltd,CL-037,Individual,SC-455,MBR-00626,UID-00000626,Active,Registered,1972,M,NW19 4KX,2015-06-14,2022-05-30,2013-05-02,2013-06-05,Registered,
Client_149 Ltd,CL-149,Family,SC-902,MBR-00627,UID-00000627,Active,Registered,1979,M,WC18 8VL,2022-12-18,2025-10-30,2018-12-16,2020-08-22,Registered,
Client_172 Ltd,CL-172,Family,SC-670,MBR-00628,UID-00000628,Active,Registered,1985,F,B6 9FJ,2021-01-10,2023-10-26,2015-11-25,2017-07-04,Registered,
Client_158 Ltd,CL-158,SME,SC-167,MBR-00629,UID-00000629,Active,Registered,1993,M,W16L 9YF,2015-12-13,2019-04-09,2014-08-24,2015-10-24,Registered,
Client_139 Ltd,CL-139,Individual,SC-204,MBR-00630,UID-00000630,Active,Registered,1978,M,L3J 5NZ,2017-11-14,2025-10-30,2013-05-23,2017-02-05,Registered,
Client_008 Ltd,CL-008,Individual,SC-234,MBR-00631,UID-00000631,Active,Registered,1974,F,L12M 8DP,2020-05-13,2024-08-11,2011-06-22,2017-06-08,Registered,
Client_133 Ltd,CL-133,Family,SC-384,MBR-00632,UID-00000632,Active,Registered,1968,F,NW19 2PG,2019-04-28,2021-08-17,2005-10-07,2012-08-15,Registered,
Client_008 Ltd,CL-008,Corporate,SC-477,MBR-00633,UID-00000633,Active,Registered,1987,M,W13 7BE,2015-12-16,2021-06-30,2010-05-16,2013-06-19,Registered,
Client_005 Ltd,CL-005,SME,SC-875,MBR-00634,UID-00000634,Active,Registered,1996,F,E7 8EK,2019-04-29,2023-03-25,2017-06-09,2018-08-21,Registered,
Client_010 Ltd,CL-010,Corporate,SC-159,MBR-00635,UID-00000635,Active,Registered,1995,M,N3 3KU,2019-01-18,2022-09-19,2008-08-25,2017-10-23,Registered,
Client_015 Ltd,CL-015,Individual,SC-914,MBR-00636,UID-00000636,Lapsed,Cancelled,1990,M,NW1 4YY,2019-12-26,2025-10-30,2007-11-01,2016-01-22,Cancelled,2025-10-30
Client_056 Ltd,CL-056,SME,SC-584,MBR-00637,UID-00000637,Active,Registered,1989,F,N19 8ZY,2022-08-29,2025-10-30,2011-03-09,2017-07-21,Registered,
